country_iso	n_movies	pct	in_top29
usa	44533	50.8%	yes
gbr	9539	10.9%	yes
fra	8371	9.6%	yes
other	7816	8.9%	no
can	5329	6.1%	yes
ita	4843	5.5%	yes
deu	4821	5.5%	yes
jpn	3637	4.2%	yes
ind	2647	3.0%	yes
esp	2491	2.8%	yes
aus	1427	1.6%	yes
bel	1397	1.6%	yes
hkg	1377	1.6%	yes
swe	1354	1.5%	yes
rus	1348	1.5%	yes
kor	1225	1.4%	yes
chn	1135	1.3%	yes
mex	1087	1.2%	yes
sun	1084	1.2%	yes
nld	1012	1.2%	yes
fin	915	1.0%	yes
pol	883	1.0%	yes
bra	858	1.0%	yes
dnk	849	1.0%	yes
che	704	0.8%	yes
arg	699	0.8%	yes
irl	589	0.7%	yes
nor	564	0.6%	yes
tur	530	0.6%	yes
aut	504	0.6%	yes
