"USERID"	"ITEM_ID"	"ITEM_NUM"	"SCORE"	"RANK"	"TIMESTAMP"	"MODEL"	"PARAMETERS"	"REC_BATCH_ID"
3057	101433	319	7.0426297189999998	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3764	101433	319	5.1391077039999997	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3500	101433	319	5.1462421420000002	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2762	101433	319	5.0774788859999997	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2663	101433	319	4.8007774349999996	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2945	101433	319	4.9327974320000001	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3660	101433	319	6.5457816119999999	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3760	101433	319	5.0431494710000004	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3814	101433	319	5.0892968180000002	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2658	101433	319	6.0806436540000002	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3246	101433	319	4.5982847209999997	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3671	101433	319	4.7604722979999998	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4972	102323	525	4.9794359210000003	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2510	102323	525	4.8505721089999998	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2937	102323	525	4.445818901	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3450	103614	802	5.7677640910000001	1		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2500	103614	802	4.9518609050000002	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2644	103614	802	5.5454535480000002	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2922	103614	802	6.1827511790000003	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2928	103614	802	4.7428212170000004	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3029	103614	802	5.6689076419999997	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3042	103614	802	5.6699562070000002	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3178	103614	802	6.220612526	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3438	103614	802	6.5010633469999997	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3536	103614	802	5.3870568280000004	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3548	103614	802	5.6952018740000003	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3629	103614	802	4.8664088249999997	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3756	103614	802	6.1044387819999999	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3808	103614	802	5.771580696	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3886	103614	802	7.0002932549999999	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2506	103614	802	5.324930191	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2744	103614	802	5.4165678020000003	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2888	103614	802	6.3512654299999998	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3179	103614	802	5.330174446	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3354	103614	802	5.1371207239999999	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3428	103614	802	5.5679783819999997	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4949	103614	802	5.2717695239999998	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2760	103614	802	4.9975590710000004	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3258	103614	802	5.4901065830000002	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3528	103614	802	4.8099894519999999	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3763	103614	802	6.2446589469999996	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2540	103614	802	5.800253391	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2772	103614	802	5.422215939	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2878	103614	802	5.7887787819999996	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2902	103614	802	5.288043976	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3525	103614	802	4.7662067410000004	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3616	103614	802	4.9902329439999997	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3744	103614	802	6.2232170099999999	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2410	103614	802	6.1148924830000002	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3609	103614	802	5.196470261	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3673	103614	802	4.7435803410000004	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3766	103614	802	4.813021183	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4992	103614	802	7.0250515939999998	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2900	103614	802	4.891176701	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3025	103614	802	4.9524421690000002	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3568	103614	802	5.6687755580000001	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3751	103614	802	5.8705248829999999	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3787	103614	802	5.1079039570000004	8		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2884	103614	802	4.8736824990000001	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3640	103614	802	5.3428416250000001	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3668	103614	802	4.7313823700000004	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3682	103614	802	4.535047531	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3771	103614	802	4.5313611030000001	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3825	103614	802	4.8480916020000002	9		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3177	103614	802	4.6142802239999998	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3425	103614	802	5.9204964640000002	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3443	103647	815	6.5993928909999999	6		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
4991	103912	886	4.5785956380000004	10		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2749	103923	888	5.0044732090000004	7		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3578	104119	928	3.8976247310000001	2		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2937	104119	928	4.5622034070000002	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3705	104119	928	4.6663150790000003	3		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
2917	104119	928	4.4818034170000001	4		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3086	104119	928	4.7091641429999997	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3163	104119	928	4.8235654830000003	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3186	104119	928	4.6654672619999999	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3633	104119	928	5.0238151550000003	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3677	104119	928	3.932766199	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
3762	104119	928	4.4528942110000003	5		"biased_mf"	"{""features"": 20, ""iterations"": 20, ""reg"": 0.1}"	1
